Protein,Protein Description,Protein Gene,A-100_0-14 Sum Normalized Area,A-100_0-28 Sum Normalized Area,A-100_0-42 Sum Normalized Area
sp|Q96GQ5|RUSF1_HUMAN,RUS family member 1 OS=Homo sapiens OX=9606 GN=RUSF1 PE=1 SV=2,RUSF1,3.5927E+4,4.3469E+4,2.6108E+4
sp|Q96P48|ARAP1_HUMAN,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ARAP1 PE=1 SV=3",ARAP1,3.4675E+6,3.3886E+6,3.1077E+6
sp|Q9NR12|PDLI7_HUMAN,PDZ and LIM domain protein 7 OS=Homo sapiens OX=9606 GN=PDLIM7 PE=1 SV=1,PDLIM7,4.8321E+6,4.5773E+6,5.0438E+6
sp|P08637|FCG3A_HUMAN,Low affinity immunoglobulin gamma Fc region receptor III-A OS=Homo sapiens OX=9606 GN=FCGR3A PE=1 SV=2,FCGR3A,9.6637E+4,1.0109E+5,9.3730E+4
sp|P0C221|CC175_HUMAN,Coiled-coil domain-containing protein 175 OS=Homo sapiens OX=9606 GN=CCDC175 PE=1 SV=2,CCDC175,1.2634E+4,1.6889E+4,1.7062E+4
sp|P14151|LYAM1_HUMAN,L-selectin OS=Homo sapiens OX=9606 GN=SELL PE=1 SV=2,SELL,1.1708E+6,1.1953E+6,1.2522E+6
sp|P35858|ALS_HUMAN,Insulin-like growth factor-binding protein complex acid labile subunit OS=Homo sapiens OX=9606 GN=IGFALS PE=1 SV=1,IGFALS,9.3608E+6,1.0473E+7,9.2700E+6
sp|P36959|GMPR1_HUMAN,GMP reductase 1 OS=Homo sapiens OX=9606 GN=GMPR PE=1 SV=1,GMPR,1.5189E+6,1.6139E+6,1.6610E+6
sp|P50748|KNTC1_HUMAN,Kinetochore-associated protein 1 OS=Homo sapiens OX=9606 GN=KNTC1 PE=1 SV=1,KNTC1,5.3458E+3,#N/A,4.9398E+3
sp|P51812|KS6A3_HUMAN,Ribosomal protein S6 kinase alpha-3 OS=Homo sapiens OX=9606 GN=RPS6KA3 PE=1 SV=1,RPS6KA3,1.2122E+5,1.5437E+5,1.4537E+5
sp|P60174|TPIS_HUMAN,Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=4,TPI1,9.4366E+6,9.6572E+6,9.3986E+6
sp|P78423|X3CL1_HUMAN,Fractalkine OS=Homo sapiens OX=9606 GN=CX3CL1 PE=1 SV=1,CX3CL1,1.1922E+5,1.1300E+5,1.2901E+5
sp|Q00537|CDK17_HUMAN,Cyclin-dependent kinase 17 OS=Homo sapiens OX=9606 GN=CDK17 PE=1 SV=2,CDK17,2.7158E+4,2.2111E+4,3.3681E+4
sp|Q03154|ACY1_HUMAN,Aminoacylase-1 OS=Homo sapiens OX=9606 GN=ACY1 PE=1 SV=1,ACY1,1.7455E+5,1.6344E+5,1.4567E+5
sp|Q14116|IL18_HUMAN,Interleukin-18 OS=Homo sapiens OX=9606 GN=IL18 PE=1 SV=1,IL18,2.5266E+5,2.5984E+5,2.6345E+5
sp|Q15120|PDK3_HUMAN,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial OS=Homo sapiens OX=9606 GN=PDK3 PE=1 SV=1",PDK3,9.5343E+4,7.1199E+4,9.6113E+4
sp|Q53GL0|PKHO1_HUMAN,Pleckstrin homology domain-containing family O member 1 OS=Homo sapiens OX=9606 GN=PLEKHO1 PE=1 SV=2,PLEKHO1,1.8407E+5,1.5801E+5,1.6820E+5
sp|Q6P4Q7|CNNM4_HUMAN,Metal transporter CNNM4 OS=Homo sapiens OX=9606 GN=CNNM4 PE=1 SV=3,CNNM4,1.6770E+4,1.1673E+4,1.3110E+4
sp|Q96BS2|CHP3_HUMAN,Calcineurin B homologous protein 3 OS=Homo sapiens OX=9606 GN=TESC PE=1 SV=3,TESC,5.0880E+5,5.2186E+5,4.4315E+5
sp|Q96BY6|DOC10_HUMAN,Dedicator of cytokinesis protein 10 OS=Homo sapiens OX=9606 GN=DOCK10 PE=1 SV=3,DOCK10,3.8529E+6,3.6963E+6,3.7795E+6
sp|Q99735|MGST2_HUMAN,Microsomal glutathione S-transferase 2 OS=Homo sapiens OX=9606 GN=MGST2 PE=1 SV=1,MGST2,3.0001E+5,3.7311E+5,3.4811E+5
sp|Q9BRK5|CAB45_HUMAN,45 kDa calcium-binding protein OS=Homo sapiens OX=9606 GN=SDF4 PE=1 SV=1,SDF4,4.0551E+5,3.9246E+5,4.0844E+5
sp|Q9BUK6|MSTO1_HUMAN,Protein misato homolog 1 OS=Homo sapiens OX=9606 GN=MSTO1 PE=1 SV=1,MSTO1,2.7048E+3,#N/A,#N/A
sp|Q9H0B8|CRLD2_HUMAN,Cysteine-rich secretory protein LCCL domain-containing 2 OS=Homo sapiens OX=9606 GN=CRISPLD2 PE=1 SV=1,CRISPLD2,4.9187E+4,1.7270E+4,1.6706E+4
sp|Q9HBW1|LRRC4_HUMAN,Leucine-rich repeat-containing protein 4 OS=Homo sapiens OX=9606 GN=LRRC4 PE=1 SV=2,LRRC4,#N/A,#N/A,#N/A
sp|Q9Y2A7|NCKP1_HUMAN,Nck-associated protein 1 OS=Homo sapiens OX=9606 GN=NCKAP1 PE=1 SV=1,NCKAP1,3.0372E+5,3.0736E+5,3.0713E+5
sp|A1KZ92|PXDNL_HUMAN,Probable oxidoreductase PXDNL OS=Homo sapiens OX=9606 GN=PXDNL PE=1 SV=3,PXDNL,3.6939E+4,2.4840E+4,2.7721E+4
sp|O95202|LETM1_HUMAN,Mitochondrial proton/calcium exchanger protein OS=Homo sapiens OX=9606 GN=LETM1 PE=1 SV=1,LETM1,3.7322E+5,3.5504E+5,2.6913E+5
sp|O95980|RECK_HUMAN,Reversion-inducing cysteine-rich protein with Kazal motifs OS=Homo sapiens OX=9606 GN=RECK PE=1 SV=1,RECK,1.1267E+5,8.8737E+4,1.1420E+5
sp|P00739|HPTR_HUMAN,Haptoglobin-related protein OS=Homo sapiens OX=9606 GN=HPR PE=1 SV=2,HPR,2.2087E+7,2.1491E+7,2.1784E+7
sp|P02786|TFR1_HUMAN,Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2,TFRC,1.7152E+6,1.6865E+6,1.9406E+6
sp|P31150|GDIA_HUMAN,Rab GDP dissociation inhibitor alpha OS=Homo sapiens OX=9606 GN=GDI1 PE=1 SV=2,GDI1,4.3746E+6,4.4107E+6,4.4075E+6
sp|P40616|ARL1_HUMAN,ADP-ribosylation factor-like protein 1 OS=Homo sapiens OX=9606 GN=ARL1 PE=1 SV=1,ARL1,1.7649E+5,1.7985E+5,1.7044E+5
sp|P51790|CLCN3_HUMAN,H(+)/Cl(-) exchange transporter 3 OS=Homo sapiens OX=9606 GN=CLCN3 PE=1 SV=2,CLCN3,5.4964E+4,4.1945E+4,5.8909E+4
sp|P52565|GDIR1_HUMAN,Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3,ARHGDIA,2.0141E+6,1.8976E+6,2.0581E+6
sp|P58166|INHBE_HUMAN,Inhibin beta E chain OS=Homo sapiens OX=9606 GN=INHBE PE=1 SV=1,INHBE,5.5758E+5,5.8717E+5,5.0530E+5
sp|P82921|RT21_HUMAN,Small ribosomal subunit protein bS21m OS=Homo sapiens OX=9606 GN=MRPS21 PE=1 SV=3,MRPS21,3.8412E+3,4.2864E+3,#N/A
sp|Q13557|KCC2D_HUMAN,Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Homo sapiens OX=9606 GN=CAMK2D PE=1 SV=3,CAMK2D,8.9653E+4,1.2119E+5,1.1147E+5
sp|Q14624|ITIH4_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4,ITIH4,6.5329E+6,6.6661E+6,6.4470E+6
sp|Q14644|RASA3_HUMAN,Ras GTPase-activating protein 3 OS=Homo sapiens OX=9606 GN=RASA3 PE=1 SV=3,RASA3,3.3899E+6,3.4578E+6,3.5346E+6
sp|Q6UW68|TM205_HUMAN,Transmembrane protein 205 OS=Homo sapiens OX=9606 GN=TMEM205 PE=1 SV=1,TMEM205,3.5942E+4,4.5009E+4,5.5348E+4
sp|Q8N6C8|LIRA3_HUMAN,Leukocyte immunoglobulin-like receptor subfamily A member 3 OS=Homo sapiens OX=9606 GN=LILRA3 PE=1 SV=3,LILRA3,3.3657E+4,4.8478E+4,2.9281E+4
sp|Q8NHG7|SVIP_HUMAN,Small VCP/p97-interacting protein OS=Homo sapiens OX=9606 GN=SVIP PE=1 SV=1,SVIP,1.4469E+5,1.6337E+5,1.5283E+5
sp|Q969P0|IGSF8_HUMAN,Immunoglobulin superfamily member 8 OS=Homo sapiens OX=9606 GN=IGSF8 PE=1 SV=1,IGSF8,7.6598E+4,7.7235E+4,5.3697E+4
sp|Q96AG4|LRC59_HUMAN,Leucine-rich repeat-containing protein 59 OS=Homo sapiens OX=9606 GN=LRRC59 PE=1 SV=1,LRRC59,1.6059E+6,1.5457E+6,1.4983E+6
sp|Q9NRR8|C42S1_HUMAN,CDC42 small effector protein 1 OS=Homo sapiens OX=9606 GN=CDC42SE1 PE=1 SV=1,CDC42SE1,1.4350E+4,1.8320E+4,1.9298E+4
sp|A0A087WSY6|KVD15_HUMAN,Immunoglobulin kappa variable 3D-15 OS=Homo sapiens OX=9606 GN=IGKV3D-15 PE=1 SV=6,IGKV3D-15,1.0817E+6,1.0884E+6,1.1881E+6
sp|P04040|CATA_HUMAN,Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3,CAT,3.4818E+6,3.3669E+6,3.3749E+6
sp|P10321|HLAC_HUMAN,"HLA class I histocompatibility antigen, C alpha chain OS=Homo sapiens OX=9606 GN=HLA-C PE=1 SV=3",HLA-C,5.7221E+6,6.1172E+6,6.4978E+6
sp|P21741|MK_HUMAN,Midkine OS=Homo sapiens OX=9606 GN=MDK PE=1 SV=1,MDK,6.5310E+3,6.6110E+3,8.8332E+3
sp|P43155|CACP_HUMAN,Carnitine O-acetyltransferase OS=Homo sapiens OX=9606 GN=CRAT PE=1 SV=5,CRAT,4.6697E+5,4.8207E+5,4.7597E+5
sp|P46199|IF2M_HUMAN,"Translation initiation factor IF-2, mitochondrial OS=Homo sapiens OX=9606 GN=MTIF2 PE=1 SV=2",MTIF2,9.3524E+3,1.3878E+4,1.4544E+4
sp|P46439|GSTM5_HUMAN,Glutathione S-transferase Mu 5 OS=Homo sapiens OX=9606 GN=GSTM5 PE=1 SV=3,GSTM5,8.7910E+4,1.0469E+5,8.5432E+4
sp|P49767|VEGFC_HUMAN,Vascular endothelial growth factor C OS=Homo sapiens OX=9606 GN=VEGFC PE=1 SV=1,VEGFC,3.5886E+5,3.3123E+5,3.0549E+5
sp|P52333|JAK3_HUMAN,Tyrosine-protein kinase JAK3 OS=Homo sapiens OX=9606 GN=JAK3 PE=1 SV=2,JAK3,1.5037E+6,9.0563E+5,8.2038E+5
sp|P53041|PPP5_HUMAN,Serine/threonine-protein phosphatase 5 OS=Homo sapiens OX=9606 GN=PPP5C PE=1 SV=1,PPP5C,1.2776E+5,1.1338E+5,1.1936E+5
sp|Q07817|B2CL1_HUMAN,Bcl-2-like protein 1 OS=Homo sapiens OX=9606 GN=BCL2L1 PE=1 SV=1,BCL2L1,2.1114E+5,2.1828E+5,2.3708E+5
sp|Q0VDF9|HSP7E_HUMAN,Heat shock 70 kDa protein 14 OS=Homo sapiens OX=9606 GN=HSPA14 PE=1 SV=1,HSPA14,3.3241E+3,#N/A,9.4380E+3
sp|Q14008|CKAP5_HUMAN,Cytoskeleton-associated protein 5 OS=Homo sapiens OX=9606 GN=CKAP5 PE=1 SV=3,CKAP5,3.6770E+6,3.4961E+6,3.4919E+6
sp|Q14139|UBE4A_HUMAN,Ubiquitin conjugation factor E4 A OS=Homo sapiens OX=9606 GN=UBE4A PE=1 SV=2,UBE4A,1.8523E+5,1.8053E+5,1.7611E+5
sp|Q14254|FLOT2_HUMAN,Flotillin-2 OS=Homo sapiens OX=9606 GN=FLOT2 PE=1 SV=2,FLOT2,1.6360E+6,1.6064E+6,1.4921E+6
sp|Q15027|ACAP1_HUMAN,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ACAP1 PE=1 SV=1",ACAP1,3.1257E+4,3.4029E+4,8.5947E+4
sp|Q15185|TEBP_HUMAN,Prostaglandin E synthase 3 OS=Homo sapiens OX=9606 GN=PTGES3 PE=1 SV=1,PTGES3,3.5814E+5,3.1550E+5,3.4320E+5
sp|Q6DD88|ATLA3_HUMAN,Atlastin-3 OS=Homo sapiens OX=9606 GN=ATL3 PE=1 SV=1,ATL3,8.7577E+5,8.9526E+5,8.9983E+5
sp|Q6ZNW5|GDPP1_HUMAN,GDP-D-glucose phosphorylase 1 OS=Homo sapiens OX=9606 GN=GDPGP1 PE=1 SV=2,GDPGP1,3.9481E+3,#N/A,7.4562E+3
sp|Q6ZUT6|CCD9B_HUMAN,Coiled-coil domain-containing protein 9B OS=Homo sapiens OX=9606 GN=CCDC9B PE=1 SV=1,CCDC9B,8.6940E+4,8.7526E+4,8.2096E+4
sp|Q8IWR0|Z3H7A_HUMAN,Zinc finger CCCH domain-containing protein 7A OS=Homo sapiens OX=9606 GN=ZC3H7A PE=1 SV=1,ZC3H7A,5.4021E+4,9.6813E+4,7.0178E+4
sp|Q9HBR0|S38AA_HUMAN,Solute carrier family 38 member 10 OS=Homo sapiens OX=9606 GN=SLC38A10 PE=1 SV=2,SLC38A10,5.3119E+4,6.4352E+4,5.6794E+4
sp|Q9NVS9|PNPO_HUMAN,Pyridoxine-5'-phosphate oxidase OS=Homo sapiens OX=9606 GN=PNPO PE=1 SV=1,PNPO,3.7857E+4,5.4932E+4,5.1339E+4
sp|Q9NZ32|ARP10_HUMAN,Actin-related protein 10 OS=Homo sapiens OX=9606 GN=ACTR10 PE=1 SV=1,ACTR10,2.4683E+5,1.3855E+5,1.8121E+5
sp|Q9NZE8|RM35_HUMAN,Large ribosomal subunit protein bL35m OS=Homo sapiens OX=9606 GN=MRPL35 PE=1 SV=3,MRPL35,8.7231E+3,8.4315E+3,5.8159E+3
sp|Q9P2R7|SUCB1_HUMAN,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLA2 PE=1 SV=3",SUCLA2,7.0148E+5,7.3312E+5,7.4637E+5
sp|Q9UBW8|CSN7A_HUMAN,COP9 signalosome complex subunit 7a OS=Homo sapiens OX=9606 GN=COPS7A PE=1 SV=1,COPS7A,6.6622E+4,5.7347E+4,5.6621E+4
sp|Q9Y6I9|TX264_HUMAN,Testis-expressed protein 264 OS=Homo sapiens OX=9606 GN=TEX264 PE=1 SV=1,TEX264,8.1724E+5,8.4625E+5,8.7142E+5
sp|A0A075B6K2|LV312_HUMAN,Immunoglobulin lambda variable 3-12 OS=Homo sapiens OX=9606 GN=IGLV3-12 PE=1 SV=2,IGLV3-12,2.6578E+5,2.5844E+5,2.7695E+5
sp|O43861|ATP9B_HUMAN,Probable phospholipid-transporting ATPase IIB OS=Homo sapiens OX=9606 GN=ATP9B PE=1 SV=4,ATP9B,4.7673E+4,1.5745E+4,3.7636E+4
sp|O75410|TACC1_HUMAN,Transforming acidic coiled-coil-containing protein 1 OS=Homo sapiens OX=9606 GN=TACC1 PE=1 SV=2,TACC1,5.5112E+5,3.7414E+5,3.7843E+5
sp|P00740|FA9_HUMAN,Coagulation factor IX OS=Homo sapiens OX=9606 GN=F9 PE=1 SV=2,F9,3.4007E+8,3.4169E+8,3.4241E+8
sp|P04211|LV743_HUMAN,Immunoglobulin lambda variable 7-43 OS=Homo sapiens OX=9606 GN=IGLV7-43 PE=1 SV=2,IGLV7-43,1.8053E+6,1.7086E+6,1.9325E+6
sp|P08319|ADH4_HUMAN,All-trans-retinol dehydrogenase [NAD(+)] ADH4 OS=Homo sapiens OX=9606 GN=ADH4 PE=1 SV=5,ADH4,3.9226E+4,3.9127E+4,4.6602E+4
sp|P13521|SCG2_HUMAN,Secretogranin-2 OS=Homo sapiens OX=9606 GN=SCG2 PE=1 SV=2,SCG2,9.6034E+3,3.1999E+4,2.5308E+4
sp|P20810|ICAL_HUMAN,Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=4,CAST,5.1814E+5,4.4968E+5,5.3008E+5
sp|P51580|TPMT_HUMAN,Thiopurine S-methyltransferase OS=Homo sapiens OX=9606 GN=TPMT PE=1 SV=1,TPMT,1.1914E+5,1.0878E+5,1.2241E+5
sp|P55157|MTP_HUMAN,Microsomal triglyceride transfer protein large subunit OS=Homo sapiens OX=9606 GN=MTTP PE=1 SV=1,MTTP,5.0661E+5,4.2737E+5,4.0350E+5
sp|Q14964|RB39A_HUMAN,Ras-related protein Rab-39A OS=Homo sapiens OX=9606 GN=RAB39A PE=1 SV=2,RAB39A,4.5802E+5,5.0370E+5,5.0714E+5
sp|Q15485|FCN2_HUMAN,Ficolin-2 OS=Homo sapiens OX=9606 GN=FCN2 PE=1 SV=2,FCN2,3.6445E+5,3.5737E+5,3.0008E+5
sp|Q16512|PKN1_HUMAN,Serine/threonine-protein kinase N1 OS=Homo sapiens OX=9606 GN=PKN1 PE=1 SV=2,PKN1,5.3099E+5,5.3713E+5,5.4252E+5
sp|Q6NXT6|TAPT1_HUMAN,Transmembrane anterior posterior transformation protein 1 homolog OS=Homo sapiens OX=9606 GN=TAPT1 PE=1 SV=1,TAPT1,1.0671E+5,9.1098E+4,9.8295E+4
sp|Q8N668|COMD1_HUMAN,COMM domain-containing protein 1 OS=Homo sapiens OX=9606 GN=COMMD1 PE=1 SV=1,COMMD1,1.3134E+4,1.9103E+4,1.5756E+4
sp|Q8N8R5|CB069_HUMAN,Mitochondrial protein C2orf69 OS=Homo sapiens OX=9606 GN=C2orf69 PE=1 SV=1,C2orf69,6.1405E+4,3.0864E+4,4.0632E+4
sp|Q96HS1|PGAM5_HUMAN,"Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens OX=9606 GN=PGAM5 PE=1 SV=2",PGAM5,4.3745E+5,4.3191E+5,3.0273E+5
sp|Q96M27|PRRC1_HUMAN,Protein PRRC1 OS=Homo sapiens OX=9606 GN=PRRC1 PE=1 SV=1,PRRC1,4.2980E+5,4.2087E+5,4.6651E+5
sp|Q9BUD6|SPON2_HUMAN,Spondin-2 OS=Homo sapiens OX=9606 GN=SPON2 PE=1 SV=4,SPON2,#N/A,4.9532E+3,#N/A
sp|Q9NXR7|BABA2_HUMAN,BRISC and BRCA1-A complex member 2 OS=Homo sapiens OX=9606 GN=BABAM2 PE=1 SV=2,BABAM2,1.6952E+5,1.5410E+5,1.7315E+5
sp|Q9P265|DIP2B_HUMAN,Disco-interacting protein 2 homolog B OS=Homo sapiens OX=9606 GN=DIP2B PE=1 SV=3,DIP2B,4.1168E+3,2.9923E+3,4.1809E+3
sp|Q9Y5U9|IR3IP_HUMAN,Immediate early response 3-interacting protein 1 OS=Homo sapiens OX=9606 GN=IER3IP1 PE=1 SV=1,IER3IP1,2.2667E+4,1.8491E+4,2.0172E+4
sp|O15078|CE290_HUMAN,Centrosomal protein of 290 kDa OS=Homo sapiens OX=9606 GN=CEP290 PE=1 SV=2,CEP290,#N/A,#N/A,#N/A
sp|P02652|APOA2_HUMAN,Apolipoprotein A-II OS=Homo sapiens OX=9606 GN=APOA2 PE=1 SV=1,APOA2,5.7980E+7,6.0247E+7,5.8382E+7
sp|P06756|ITAV_HUMAN,Integrin alpha-V OS=Homo sapiens OX=9606 GN=ITGAV PE=1 SV=2,ITGAV,5.4340E+5,5.7682E+5,5.7992E+5
sp|P08567|PLEK_HUMAN,Pleckstrin OS=Homo sapiens OX=9606 GN=PLEK PE=1 SV=3,PLEK,3.4475E+7,3.5408E+7,3.4243E+7
sp|P21926|CD9_HUMAN,CD9 antigen OS=Homo sapiens OX=9606 GN=CD9 PE=1 SV=4,CD9,4.6272E+6,4.3592E+6,4.8970E+6
sp|P22792|CPN2_HUMAN,Carboxypeptidase N subunit 2 OS=Homo sapiens OX=9606 GN=CPN2 PE=1 SV=3,CPN2,6.7296E+7,6.9402E+7,7.0140E+7
sp|P28838|AMPL_HUMAN,Cytosol aminopeptidase OS=Homo sapiens OX=9606 GN=LAP3 PE=1 SV=3,LAP3,1.7059E+6,1.5865E+6,1.6942E+6
sp|P32189|GLPK_HUMAN,Glycerol kinase OS=Homo sapiens OX=9606 GN=GK PE=1 SV=3,GK,4.0844E+5,4.1899E+5,4.4457E+5
sp|P45984|MK09_HUMAN,Mitogen-activated protein kinase 9 OS=Homo sapiens OX=9606 GN=MAPK9 PE=1 SV=2,MAPK9,2.5740E+4,8.2149E+3,4.2912E+3
sp|P61966|AP1S1_HUMAN,AP-1 complex subunit sigma-1A OS=Homo sapiens OX=9606 GN=AP1S1 PE=1 SV=1,AP1S1,1.3515E+5,1.3126E+5,1.2601E+5
sp|Q15628|TRADD_HUMAN,Tumor necrosis factor receptor type 1-associated DEATH domain protein OS=Homo sapiens OX=9606 GN=TRADD PE=1 SV=2,TRADD,4.5701E+4,4.9937E+4,5.7318E+4
sp|Q15750|TAB1_HUMAN,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 OS=Homo sapiens OX=9606 GN=TAB1 PE=1 SV=1,TAB1,2.8691E+5,2.8909E+5,2.8352E+5
sp|Q16543|CDC37_HUMAN,Hsp90 co-chaperone Cdc37 OS=Homo sapiens OX=9606 GN=CDC37 PE=1 SV=1,CDC37,1.2025E+6,1.2305E+6,1.0897E+6
sp|Q6PCE3|PGM2L_HUMAN,"Glucose 1,6-bisphosphate synthase OS=Homo sapiens OX=9606 GN=PGM2L1 PE=1 SV=3",PGM2L1,1.5297E+5,1.6458E+5,1.6513E+5
sp|Q86WI3|NLRC5_HUMAN,Protein NLRC5 OS=Homo sapiens OX=9606 GN=NLRC5 PE=1 SV=3,NLRC5,1.8575E+4,1.6944E+4,1.4417E+4
sp|Q8N9N2|ASCC1_HUMAN,Activating signal cointegrator 1 complex subunit 1 OS=Homo sapiens OX=9606 GN=ASCC1 PE=1 SV=1,ASCC1,2.0497E+4,2.2144E+4,1.5422E+4
sp|Q96SB3|NEB2_HUMAN,Neurabin-2 OS=Homo sapiens OX=9606 GN=PPP1R9B PE=1 SV=3,PPP1R9B,7.9791E+5,6.7639E+5,7.2121E+5
sp|Q99627|CSN8_HUMAN,COP9 signalosome complex subunit 8 OS=Homo sapiens OX=9606 GN=COPS8 PE=1 SV=1,COPS8,5.1111E+5,5.0877E+5,5.1286E+5
sp|Q99698|LYST_HUMAN,Lysosomal-trafficking regulator OS=Homo sapiens OX=9606 GN=LYST PE=1 SV=3,LYST,6.3889E+4,4.6601E+4,5.9122E+4
sp|Q9BT22|ALG1_HUMAN,Chitobiosyldiphosphodolichol beta-mannosyltransferase OS=Homo sapiens OX=9606 GN=ALG1 PE=1 SV=2,ALG1,1.5102E+5,1.3375E+5,1.9288E+5
sp|Q9HBL7|PLRKT_HUMAN,Plasminogen receptor (KT) OS=Homo sapiens OX=9606 GN=PLGRKT PE=1 SV=1,PLGRKT,6.0607E+5,4.2811E+5,6.3079E+5
sp|Q9UGM5|FETUB_HUMAN,Fetuin-B OS=Homo sapiens OX=9606 GN=FETUB PE=1 SV=2,FETUB,3.0080E+5,3.1511E+5,2.9647E+5
sp|A0A0B4J1V0|HV315_HUMAN,Immunoglobulin heavy variable 3-15 OS=Homo sapiens OX=9606 GN=IGHV3-15 PE=1 SV=1,IGHV3-15,9.1534E+5,8.6631E+5,8.9321E+5
sp|O14960|LECT2_HUMAN,Leukocyte cell-derived chemotaxin-2 OS=Homo sapiens OX=9606 GN=LECT2 PE=1 SV=2,LECT2,5.6134E+3,8.1889E+3,8.3749E+3
sp|O95835|LATS1_HUMAN,Serine/threonine-protein kinase LATS1 OS=Homo sapiens OX=9606 GN=LATS1 PE=1 SV=1,LATS1,#N/A,6.1804E+3,#N/A
sp|P08887|IL6RA_HUMAN,Interleukin-6 receptor subunit alpha OS=Homo sapiens OX=9606 GN=IL6R PE=1 SV=1,IL6R,1.2280E+4,8.3251E+3,6.7898E+3
sp|P42357|HUTH_HUMAN,Histidine ammonia-lyase OS=Homo sapiens OX=9606 GN=HAL PE=1 SV=1,HAL,9.2651E+3,1.0773E+4,5.9930E+3
sp|P61626|LYSC_HUMAN,Lysozyme C OS=Homo sapiens OX=9606 GN=LYZ PE=1 SV=1,LYZ,4.3213E+5,4.5903E+5,4.7898E+5
sp|P68106|FKB1B_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP1B OS=Homo sapiens OX=9606 GN=FKBP1B PE=1 SV=2,FKBP1B,1.2488E+4,1.3569E+4,1.3578E+4
sp|Q13131|AAPK1_HUMAN,5'-AMP-activated protein kinase catalytic subunit alpha-1 OS=Homo sapiens OX=9606 GN=PRKAA1 PE=1 SV=4,PRKAA1,2.0643E+5,3.4699E+5,3.3295E+5
sp|Q3KNS1|PTHD3_HUMAN,Patched domain-containing protein 3 OS=Homo sapiens OX=9606 GN=PTCHD3 PE=1 SV=4,PTCHD3,#N/A,#N/A,#N/A
sp|Q8WUH2|TGFA1_HUMAN,Transforming growth factor-beta receptor-associated protein 1 OS=Homo sapiens OX=9606 GN=TGFBRAP1 PE=1 SV=1,TGFBRAP1,4.6056E+3,1.7400E+4,#N/A
sp|Q8WZA0|LZIC_HUMAN,Protein LZIC OS=Homo sapiens OX=9606 GN=LZIC PE=1 SV=1,LZIC,1.4655E+5,1.6339E+5,1.3915E+5
sp|Q92902|HPS1_HUMAN,BLOC-3 complex member HPS1 OS=Homo sapiens OX=9606 GN=HPS1 PE=1 SV=2,HPS1,2.2818E+5,2.2833E+5,2.4191E+5
sp|Q99439|CNN2_HUMAN,Calponin-2 OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=4,CNN2,4.4898E+6,4.6604E+6,4.6714E+6
sp|Q99471|PFD5_HUMAN,Prefoldin subunit 5 OS=Homo sapiens OX=9606 GN=PFDN5 PE=1 SV=2,PFDN5,2.6013E+5,2.7087E+5,2.7321E+5
sp|Q99623|PHB2_HUMAN,Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2,PHB2,1.6915E+6,1.5908E+6,1.6100E+6
sp|Q9BXV9|GON7_HUMAN,EKC/KEOPS complex subunit GON7 OS=Homo sapiens OX=9606 GN=GON7 PE=1 SV=2,GON7,1.0740E+4,2.4748E+4,1.7243E+4
sp|Q9H251|CAD23_HUMAN,Cadherin-23 OS=Homo sapiens OX=9606 GN=CDH23 PE=1 SV=2,CDH23,7.2778E+5,6.3471E+5,7.0780E+5
sp|Q9NUP1|BL1S4_HUMAN,Biogenesis of lysosome-related organelles complex 1 subunit 4 OS=Homo sapiens OX=9606 GN=BLOC1S4 PE=1 SV=1,BLOC1S4,7.2121E+4,1.0396E+5,6.1857E+4
sp|Q9P0Z9|SOX_HUMAN,Peroxisomal sarcosine oxidase OS=Homo sapiens OX=9606 GN=PIPOX PE=1 SV=2,PIPOX,1.6396E+4,1.4251E+4,1.2477E+4
sp|Q9UHV9|PFD2_HUMAN,Prefoldin subunit 2 OS=Homo sapiens OX=9606 GN=PFDN2 PE=1 SV=1,PFDN2,5.2143E+5,5.2809E+5,5.1483E+5
sp|Q9ULC4|MCTS1_HUMAN,Malignant T-cell-amplified sequence 1 OS=Homo sapiens OX=9606 GN=MCTS1 PE=1 SV=1,MCTS1,3.4339E+5,2.9229E+5,3.4338E+5
