Protein,Protein Description,Protein Gene,Astral_MixA_01 Sum Normalized Area,Astral_MixA_02 Sum Normalized Area,Astral_MixA_03 Sum Normalized Area,Astral_MixB_01 Sum Normalized Area,Astral_MixB_02 Sum Normalized Area,Astral_MixB_03 Sum Normalized Area,Astral_MixC_01 Sum Normalized Area,Astral_MixC_02 Sum Normalized Area,Astral_MixC_03 Sum Normalized Area,Astral_MixD_01 Sum Normalized Area,Astral_MixD_02 Sum Normalized Area,Astral_MixD_03 Sum Normalized Area,Astral_MixE_01 Sum Normalized Area,Astral_MixE_02 Sum Normalized Area,Astral_MixE_03 Sum Normalized Area,Astral_MixF_01 Sum Normalized Area,Astral_MixF_02 Sum Normalized Area,Astral_MixF_03 Sum Normalized Area,Astral_MixG_01 Sum Normalized Area,Astral_MixG_02 Sum Normalized Area,Astral_MixG_03 Sum Normalized Area,Astral_MixH_01 Sum Normalized Area,Astral_MixH_02 Sum Normalized Area,Astral_MixH_03 Sum Normalized Area,Astral_MixI_01 Sum Normalized Area,Astral_MixI_02 Sum Normalized Area,Astral_MixI_03 Sum Normalized Area,Astral_MixJ_01 Sum Normalized Area,Astral_MixJ_02 Sum Normalized Area,Astral_MixJ_03 Sum Normalized Area,Astral_MixK_01 Sum Normalized Area,Astral_MixK_02 Sum Normalized Area,Astral_MixK_03 Sum Normalized Area,Astral_MixL_01 Sum Normalized Area,Astral_MixL_02 Sum Normalized Area,Astral_MixL_03 Sum Normalized Area,Astral_MixM_01 Sum Normalized Area,Astral_MixM_02 Sum Normalized Area,Astral_MixM_03 Sum Normalized Area,Astral_MixN_01 Sum Normalized Area,Astral_MixN_02 Sum Normalized Area,Astral_MixN_03 Sum Normalized Area
sp|P51884|LUM_HUMAN,Lumican OS=Homo sapiens OX=9606 GN=LUM PE=1 SV=2,LUM,4.8313E+8,4.6774E+8,4.2063E+8,3.3297E+8,2.9706E+8,2.9952E+8,2.4208E+8,2.3824E+8,2.2542E+8,1.5087E+8,1.3059E+8,1.3273E+8,5.0271E+7,5.1727E+7,4.3662E+7,3.7668E+7,3.4436E+7,3.5668E+7,2.6241E+7,2.5436E+7,2.3884E+7,1.6146E+7,1.5357E+7,1.3733E+7,5.1003E+6,4.6620E+6,4.6930E+6,3.8927E+6,3.7188E+6,3.6396E+6,3.2621E+6,2.6388E+6,2.5182E+6,1.5442E+6,1.8603E+6,1.5769E+6,2.3645E+5,4.2780E+5,3.6487E+5,#N/A,#N/A,#N/A
sp|P52306|GDS1_HUMAN,Rap1 GTPase-GDP dissociation stimulator 1 OS=Homo sapiens OX=9606 GN=RAP1GDS1 PE=1 SV=3,RAP1GDS1,5.5782E+5,4.9468E+5,4.7838E+5,3.6658E+5,3.0482E+5,3.3627E+5,2.6206E+5,2.8560E+5,2.5327E+5,1.1722E+5,1.2159E+5,9.9221E+4,1.5674E+4,8.5807E+3,9.0367E+3,6.8255E+3,3.6006E+3,6.1405E+3,7.6257E+3,3.1853E+3,4.3721E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P56192|SYMC_HUMAN,"Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=MARS1 PE=1 SV=2",MARS1,7.5634E+5,6.7382E+5,5.5765E+5,4.3320E+5,3.9645E+5,4.1392E+5,3.0818E+5,3.8665E+5,2.6468E+5,1.6176E+5,1.1832E+5,1.5349E+5,4.4388E+3,7.6319E+4,1.6474E+4,#N/A,#N/A,1.5212E+4,5.2945E+3,9.9460E+2,7.1231E+3,#N/A,1.2115E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15257|PTPA_HUMAN,Serine/threonine-protein phosphatase 2A activator OS=Homo sapiens OX=9606 GN=PTPA PE=1 SV=3,PTPA,6.2836E+5,9.7267E+5,4.5605E+5,4.1199E+5,4.3015E+5,5.7587E+5,5.1089E+5,4.4615E+5,3.5493E+5,3.5652E+5,3.0069E+5,3.6545E+5,1.0672E+5,3.2312E+4,2.3424E+4,3.1545E+4,5.9753E+4,1.4982E+5,#N/A,3.8898E+4,1.0627E+4,#N/A,#N/A,1.5824E+5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q92947|GCDH_HUMAN,"Glutaryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=GCDH PE=1 SV=1",GCDH,1.5374E+5,1.9180E+5,1.2267E+5,1.3741E+5,1.2988E+5,1.3333E+5,8.4190E+4,5.0315E+4,5.2720E+4,3.3592E+4,3.7542E+4,2.4452E+4,3.5422E+3,1.5663E+4,4.7728E+3,3.9294E+3,2.6684E+3,5.3792E+3,#N/A,2.8750E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96B36|AKTS1_HUMAN,Proline-rich AKT1 substrate 1 OS=Homo sapiens OX=9606 GN=AKT1S1 PE=1 SV=1,AKT1S1,1.5819E+4,#N/A,1.0006E+4,1.8346E+4,9.4646E+3,#N/A,1.4039E+4,#N/A,7.8439E+3,8.0623E+3,#N/A,2.6041E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96NA2|RILP_HUMAN,Rab-interacting lysosomal protein OS=Homo sapiens OX=9606 GN=RILP PE=1 SV=1,RILP,1.3968E+5,1.5079E+5,1.2702E+5,1.0768E+5,7.9461E+4,1.0939E+5,5.7461E+4,4.1236E+4,5.4434E+4,2.9057E+4,2.9613E+4,2.1221E+4,4.2637E+3,#N/A,5.0077E+3,#N/A,#N/A,5.4561E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q99574|NEUS_HUMAN,Neuroserpin OS=Homo sapiens OX=9606 GN=SERPINI1 PE=1 SV=1,SERPINI1,2.9587E+4,2.8895E+4,2.5091E+4,1.4016E+4,1.9022E+4,1.9703E+4,9.2151E+3,7.1137E+3,8.7803E+3,1.2831E+4,1.8652E+3,2.0418E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.0365E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q99798|ACON_HUMAN,"Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2",ACO2,2.5278E+6,2.3970E+6,2.3033E+6,1.9272E+6,1.6579E+6,1.6018E+6,1.3800E+6,1.3184E+6,1.3286E+6,8.4411E+5,8.4513E+5,8.1060E+5,2.4571E+5,2.9437E+5,2.2719E+5,1.4059E+5,1.3027E+5,1.3784E+5,1.4339E+5,1.2904E+5,5.9577E+4,3.7942E+4,6.4620E+4,2.4391E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9C0E8|LNP_HUMAN,Endoplasmic reticulum junction formation protein lunapark OS=Homo sapiens OX=9606 GN=LNPK PE=1 SV=2,LNPK,4.1767E+5,4.1309E+5,3.4368E+5,2.7449E+5,2.2738E+5,2.5092E+5,1.9795E+5,2.7123E+5,1.8462E+5,1.2662E+5,8.5448E+4,8.0950E+4,2.8421E+4,2.5183E+4,1.1410E+4,1.3070E+4,6.2379E+3,7.5928E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
tr|A0A0B4J2B5|A0A0B4J2B5_HUMAN,Immunoglobulin heavy variable 3/OR16-9 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGHV3OR16-9 PE=1 SV=1,IGHV3OR16-9,6.7815E+6,6.7500E+6,6.8433E+6,5.0637E+6,5.2586E+6,4.9303E+6,3.9415E+6,2.5354E+6,3.5316E+6,2.3642E+6,2.5058E+6,2.0723E+6,8.9614E+5,8.3707E+5,8.0859E+5,6.3203E+5,6.3636E+5,5.4716E+5,4.3809E+5,4.3740E+5,4.1954E+5,2.3708E+5,2.7475E+5,2.5757E+5,9.5318E+4,1.1924E+5,7.5562E+4,8.9699E+4,4.8994E+4,6.9330E+4,4.4597E+4,3.7785E+4,5.2196E+4,2.4404E+4,1.6896E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O15321|TM9S1_HUMAN,Transmembrane 9 superfamily member 1 OS=Homo sapiens OX=9606 GN=TM9SF1 PE=1 SV=2,TM9SF1,1.3334E+4,2.0065E+4,#N/A,#N/A,#N/A,1.2596E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.7225E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O60762|DPM1_HUMAN,Dolichol-phosphate mannosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=DPM1 PE=1 SV=1,DPM1,5.2226E+4,4.9798E+4,4.2566E+4,5.4348E+4,3.3578E+4,5.1666E+4,3.3236E+4,1.5760E+4,3.8405E+4,1.9160E+4,3.2819E+4,1.9504E+4,5.4917E+3,4.1672E+3,8.8254E+3,9.5837E+3,9.2650E+3,6.4438E+2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P01619|KV320_HUMAN,Immunoglobulin kappa variable 3-20 OS=Homo sapiens OX=9606 GN=IGKV3-20 PE=1 SV=2,IGKV3-20,7.7948E+6,7.5320E+6,6.4594E+6,5.5736E+6,5.0544E+6,4.9925E+6,3.8567E+6,3.8128E+6,3.8207E+6,2.4680E+6,2.1012E+6,2.1890E+6,7.8757E+5,9.8594E+5,6.8503E+5,6.3134E+5,5.6002E+5,5.5315E+5,4.6598E+5,4.1195E+5,3.8810E+5,2.4870E+5,2.4125E+5,2.1223E+5,7.0340E+4,7.9716E+4,7.7786E+4,5.8454E+4,4.3519E+4,4.7836E+4,3.5242E+4,2.7070E+4,2.1244E+4,2.3689E+4,1.7884E+4,2.0662E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P02747|C1QC_HUMAN,Complement C1q subcomponent subunit C OS=Homo sapiens OX=9606 GN=C1QC PE=1 SV=3,C1QC,5.8827E+5,5.9122E+5,4.3291E+5,3.7427E+5,3.3647E+5,4.0252E+5,3.1968E+5,3.2247E+5,3.0859E+5,1.5771E+5,1.6626E+5,1.3292E+5,5.9729E+4,5.2481E+4,1.8377E+4,2.7894E+4,2.3492E+4,#N/A,1.5619E+4,#N/A,1.4114E+4,1.3200E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P05556|ITB1_HUMAN,Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2,ITGB1,1.6199E+7,1.5203E+7,1.4453E+7,1.1113E+7,1.0046E+7,9.8363E+6,7.8665E+6,8.2353E+6,7.4883E+6,5.1280E+6,5.6733E+6,4.5260E+6,1.5511E+6,1.6529E+6,1.4208E+6,1.1970E+6,1.1008E+6,1.0923E+6,8.0274E+5,7.4038E+5,6.5859E+5,3.9190E+5,4.1126E+5,4.2907E+5,7.6467E+4,8.9062E+4,7.5403E+4,4.9736E+4,3.3235E+4,4.7398E+4,2.5516E+3,2.3284E+4,2.1173E+4,5.0060E+3,2.3637E+3,5.9496E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P13807|GYS1_HUMAN,"Glycogen [starch] synthase, muscle OS=Homo sapiens OX=9606 GN=GYS1 PE=1 SV=2",GYS1,3.2045E+5,3.5066E+5,2.5193E+5,2.8046E+5,4.2101E+5,1.5811E+5,1.6556E+5,1.1246E+5,6.4917E+5,8.1804E+4,4.8305E+4,6.1308E+4,2.3755E+4,7.4476E+3,1.7447E+4,2.5557E+4,1.1794E+4,4.6323E+3,7.6629E+3,2.1893E+3,#N/A,#N/A,#N/A,1.9146E+3,3.7829E+3,#N/A,#N/A,#N/A,#N/A,#N/A,1.0367E+4,2.3811E+3,2.3290E+3,1.9358E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P19397|CD53_HUMAN,Leukocyte surface antigen CD53 OS=Homo sapiens OX=9606 GN=CD53 PE=1 SV=1,CD53,5.7201E+4,4.7972E+4,5.4512E+4,4.1383E+4,2.9685E+4,3.3176E+4,2.4903E+4,2.9075E+4,3.5151E+4,1.5478E+4,2.8549E+4,#N/A,3.8289E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P25787|PSA2_HUMAN,Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2,PSMA2,1.7468E+6,1.6872E+6,1.5658E+6,1.4149E+6,1.2990E+6,1.4030E+6,1.4986E+6,1.2057E+6,1.2358E+6,1.0701E+6,8.5759E+5,1.0025E+6,6.1757E+5,6.1389E+5,6.1223E+5,5.3700E+5,6.3369E+5,5.5312E+5,5.9299E+5,8.9224E+5,5.4293E+5,9.2060E+5,5.2884E+5,4.8956E+5,5.1226E+5,7.3346E+5,5.3991E+5,5.6962E+5,5.7053E+5,3.6910E+5,4.9487E+5,8.3079E+5,8.6767E+5,5.4540E+5,5.4333E+5,#N/A,6.9973E+5,8.4632E+5,4.0413E+5,5.0071E+5,1.1971E+6,4.4443E+5
sp|P40197|GPV_HUMAN,Platelet glycoprotein V OS=Homo sapiens OX=9606 GN=GP5 PE=1 SV=1,GP5,1.6895E+7,1.4887E+7,1.3348E+7,1.1864E+7,1.0285E+7,1.0876E+7,7.8201E+6,8.1110E+6,8.0481E+6,4.6687E+6,4.4365E+6,4.4305E+6,1.5663E+6,1.4852E+6,1.2801E+6,1.1546E+6,9.9843E+5,1.0486E+6,8.2710E+5,7.0115E+5,6.7242E+5,3.5475E+5,3.7784E+5,3.0391E+5,3.1866E+4,7.4768E+4,5.1851E+4,3.2241E+4,3.0829E+4,6.9677E+4,1.8698E+4,1.2566E+4,8.7209E+3,#N/A,9.2728E+3,1.0349E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P46459|NSF_HUMAN,Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=NSF PE=1 SV=3,NSF,3.5241E+5,3.2087E+5,3.4742E+5,2.4760E+5,2.1819E+5,1.9500E+5,1.7333E+5,1.0875E+5,1.6547E+5,9.9004E+4,8.0469E+4,1.1084E+5,9.4996E+3,3.8522E+3,1.3735E+4,6.6204E+3,1.5247E+4,6.4242E+3,1.0936E+4,2.6168E+3,#N/A,3.9710E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P60033|CD81_HUMAN,CD81 antigen OS=Homo sapiens OX=9606 GN=CD81 PE=1 SV=1,CD81,1.0191E+5,7.5668E+4,7.2462E+4,6.9306E+4,4.0869E+4,5.1718E+4,3.9248E+4,3.5800E+4,2.6273E+4,2.8738E+4,1.3562E+4,1.2578E+4,4.8511E+3,7.6844E+3,4.5141E+3,3.3503E+3,4.0382E+3,1.5047E+3,2.5528E+3,#N/A,2.8993E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q13907|IDI1_HUMAN,Isopentenyl-diphosphate Delta-isomerase 1 OS=Homo sapiens OX=9606 GN=IDI1 PE=1 SV=2,IDI1,1.1507E+4,2.5524E+4,#N/A,8.6665E+3,1.1563E+4,1.2160E+4,7.7289E+3,6.8875E+3,1.0148E+4,#N/A,2.1901E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15172|2A5A_HUMAN,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R5A PE=1 SV=1,PPP2R5A,1.9682E+5,1.6686E+5,1.5671E+5,1.4458E+5,1.2269E+5,1.0986E+5,1.1876E+5,9.8375E+4,1.1625E+5,6.8442E+4,8.9454E+4,6.1435E+4,1.5105E+4,1.3174E+4,2.2299E+4,#N/A,2.0756E+4,3.4635E+4,4.8118E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q6ICI0|LHPL7_HUMAN,LHFPL tetraspan subfamily member 7 protein OS=Homo sapiens OX=9606 GN=LHFPL7 PE=2 SV=2,LHFPL7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.5067E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.7315E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.6141E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.4140E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q6PRD1|GP179_HUMAN,Probable G-protein coupled receptor 179 OS=Homo sapiens OX=9606 GN=GPR179 PE=1 SV=2,GPR179,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.5165E+3,#N/A,1.2131E+4,1.6373E+4,#N/A,#N/A,#N/A,#N/A,1.5553E+4,1.4237E+4,1.9963E+4,#N/A,#N/A,7.6804E+3,6.5762E+3,1.3202E+4,#N/A,#N/A,#N/A,1.6930E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q86SQ4|AGRG6_HUMAN,Adhesion G-protein coupled receptor G6 OS=Homo sapiens OX=9606 GN=ADGRG6 PE=1 SV=3,ADGRG6,1.4956E+5,1.0630E+5,1.2063E+5,9.9893E+4,9.4617E+4,8.0426E+4,6.4669E+4,7.5652E+4,7.7005E+4,2.5930E+4,2.1256E+4,2.2716E+4,1.7716E+3,#N/A,8.7228E+3,#N/A,#N/A,#N/A,#N/A,#N/A,4.3148E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q92844|TANK_HUMAN,TRAF family member-associated NF-kappa-B activator OS=Homo sapiens OX=9606 GN=TANK PE=1 SV=2,TANK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96H15|TIMD4_HUMAN,T-cell immunoglobulin and mucin domain-containing protein 4 OS=Homo sapiens OX=9606 GN=TIMD4 PE=1 SV=2,TIMD4,3.4155E+4,3.9137E+4,3.6734E+4,3.8434E+4,2.1075E+4,2.0416E+4,7.7457E+3,1.2113E+4,1.9580E+4,9.2781E+3,5.7162E+3,6.9618E+3,#N/A,#N/A,1.8853E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96HC4|PDLI5_HUMAN,PDZ and LIM domain protein 5 OS=Homo sapiens OX=9606 GN=PDLIM5 PE=1 SV=5,PDLIM5,4.9303E+6,4.7626E+6,4.5580E+6,3.1702E+6,3.2628E+6,2.9351E+6,2.3389E+6,2.0472E+6,2.1596E+6,1.4450E+6,1.5613E+6,1.2366E+6,4.4545E+5,4.4256E+5,3.1738E+5,2.9794E+5,2.8200E+5,2.4530E+5,1.8761E+5,1.9233E+5,2.2547E+5,5.9144E+4,7.8035E+4,5.7414E+4,#N/A,#N/A,#N/A,1.0863E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96S19|MTL26_HUMAN,Methyltransferase-like 26 OS=Homo sapiens OX=9606 GN=METTL26 PE=1 SV=2,METTL26,1.2213E+5,1.3896E+5,1.1217E+5,9.4165E+4,8.6568E+4,1.0273E+5,2.4917E+4,3.2974E+4,5.0433E+4,3.2401E+4,3.9450E+4,3.3259E+4,1.6797E+4,#N/A,2.2080E+3,2.9432E+3,2.1156E+3,7.8853E+2,1.9572E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96S66|CLCC1_HUMAN,Chloride channel CLIC-like protein 1 OS=Homo sapiens OX=9606 GN=CLCC1 PE=1 SV=1,CLCC1,1.4855E+5,1.3732E+5,1.4942E+5,1.2129E+5,7.7474E+4,5.2483E+4,9.8019E+4,5.7046E+4,4.5486E+4,5.4473E+4,5.2210E+4,2.3149E+4,#N/A,2.1253E+3,5.5747E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q99873|ANM1_HUMAN,Protein arginine N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=PRMT1 PE=1 SV=3,PRMT1,1.0220E+5,1.0228E+5,7.8618E+4,5.4606E+4,5.7813E+4,9.0795E+4,3.8352E+4,4.7166E+4,8.0019E+4,5.9960E+3,#N/A,4.5177E+3,#N/A,#N/A,8.6857E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H4E7|DEFI6_HUMAN,Differentially expressed in FDCP 6 homolog OS=Homo sapiens OX=9606 GN=DEF6 PE=1 SV=1,DEF6,7.7817E+4,1.2274E+5,6.6232E+4,4.5988E+4,5.5320E+4,7.3554E+4,2.7563E+4,6.1959E+4,4.8750E+4,6.4677E+3,#N/A,3.3320E+4,#N/A,#N/A,#N/A,#N/A,6.3867E+3,#N/A,7.3707E+3,#N/A,#N/A,7.4815E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9NP58|ABCB6_HUMAN,ATP-binding cassette sub-family B member 6 OS=Homo sapiens OX=9606 GN=ABCB6 PE=1 SV=1,ABCB6,2.6708E+5,4.7167E+5,3.3749E+5,2.9131E+5,2.2071E+5,1.9938E+5,2.8342E+5,1.4739E+5,1.2617E+5,4.1854E+4,4.0892E+5,5.8750E+4,1.3592E+4,1.4749E+3,1.0940E+4,#N/A,2.8928E+5,1.0497E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.5031E+4,#N/A,6.9121E+4,#N/A,#N/A,#N/A,5.8332E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.6502E+4,#N/A,2.6100E+4
sp|Q9UKM7|MA1B1_HUMAN,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase OS=Homo sapiens OX=9606 GN=MAN1B1 PE=1 SV=2",MAN1B1,8.5409E+4,8.1443E+4,5.6067E+4,5.9307E+4,5.0088E+4,4.7721E+4,4.9355E+4,2.3617E+4,2.4497E+4,2.1139E+4,#N/A,1.6982E+4,#N/A,9.7589E+3,#N/A,2.1222E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9Y263|PLAP_HUMAN,Phospholipase A-2-activating protein OS=Homo sapiens OX=9606 GN=PLAA PE=1 SV=2,PLAA,4.1799E+5,3.5932E+5,2.9076E+5,1.8003E+5,2.2477E+5,1.8310E+5,1.7366E+5,1.0117E+5,1.3749E+5,7.3780E+4,7.2823E+4,3.3026E+4,4.5283E+3,1.8093E+3,#N/A,#N/A,#N/A,5.7362E+3,#N/A,2.1029E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9Y2L5|TPPC8_HUMAN,Trafficking protein particle complex subunit 8 OS=Homo sapiens OX=9606 GN=TRAPPC8 PE=1 SV=2,TRAPPC8,2.7270E+5,1.1600E+5,6.1213E+4,9.6632E+4,1.1130E+5,2.2813E+5,1.5099E+5,2.9361E+4,2.2218E+5,1.2947E+4,5.5009E+3,8.6418E+3,#N/A,2.2766E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
